AOR,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TOTAL FY2020,
Total,12180,10216,10283,9483,8880,6599,2280,1463,1532,1280,1363,1376,66935,
Atlanta,438,338,277,276,246,171,63,73,72,40,69,74,2137,
Baltimore,17,23,25,16,15,12,6,1,7,6,2,1,131,
Boston,90,96,157,86,49,53,26,12,18,12,5,12,616,
Buffalo,56,40,55,36,77,33,29,21,7,19,26,14,413,
Chicago,174,117,115,136,136,90,49,43,31,31,32,31,985,
Dallas,194,180,126,138,148,126,110,94,119,108,59,32,1434,
Denver,79,68,58,44,22,32,9,13,7,11,29,38,410,
Detroit,163,94,125,72,92,100,29,18,27,24,17,21,782,
El Paso,634,604,696,699,571,480,331,63,107,95,97,136,4513,
Houston,533,534,352,288,284,200,121,136,84,88,76,136,2832,
Los Angeles,164,110,102,107,83,80,34,23,17,17,14,16,767,
Miami,344,335,296,301,216,223,73,61,81,83,70,131,2214,
New Orleans,842,648,736,697,659,325,121,206,338,169,195,99,5035,
New York City,116,149,132,104,68,55,27,26,27,24,28,14,770,
Newark,102,125,117,116,123,79,13,8,8,25,26,43,785,
Philadelphia,91,78,61,83,77,52,16,20,12,11,9,14,524,
Phoenix,1557,1375,1453,1113,1033,831,163,123,111,160,200,108,8227,
Salt Lake City,50,57,49,71,49,66,30,18,6,17,29,19,461,
San Antonio,4539,3319,3688,3315,3299,2417,875,358,211,193,247,178,22639,
San Diego,1682,1601,1374,1552,1423,977,85,74,174,63,57,165,9227,
San Francisco,68,86,104,81,72,56,18,23,6,15,6,7,542,
Seattle,154,123,95,85,67,83,24,27,37,37,51,68,851,
St. Paul,47,59,53,33,35,37,11,8,19,24,5,3,334,
Washington,43,52,34,30,33,20,15,12,4,6,14,14,277,
NCATC,3,5,3,4,3,1,2,2,2,2,-,2,29,