DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
KENTCMI,KENT COUNTY JAIL,GRAND RAPIDS,MI,DET,159.99,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,8/31/16
KRO,KROME NORTH SERVICE PROCESSING CENTER,MIAMI,FL,MIA,42.85,Regular,Meets Standard,Meets Standard,4/6/17,Regular,Meets Standard,3/31/16
LAPAZAZ,LA PAZ COUNTY ADULT DETENTION FACILITY,PARKER,AZ,PHO,162.85,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/8/16
LAPLACO,LA PLATA COUNTY JAIL,DURANGO,CO,DEN,341.71,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/14/15
LEXINSC,LEXINGTON COUNTY JAIL,LEXINGTON,SC,ATL,202.12,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
LINCOMO,LINCOLN COUNTY DETENTION CENTER,TROY,MO,CHI,343.02,ORSA,Acceptable,,9/5/17,Regular,Acceptable,6/16/16
LINNJIA,LINN COUNTY JAIL,CEDAR RAPIDS,IA,SPM,406.82,Regular,Acceptable,Acceptable,5/7/15,Regular,Acceptable,5/16/13
LONPDAR,LONOKE POLICE DEPARTMENT,LONOKE,AR,NOL,450.70,ORSA,Acceptable,,8/29/17,ORSA,Acceptable,7/12/16
LRDICDF,LAREDO PROCESSING CENTER,LAREDO,TX,SNA,169.51,Regular,Acceptable,Acceptable,6/8/17,Regular,Acceptable,6/3/16
LSRDCTX,LA SALLE COUNTY REGIONAL DETENTION CENTER,ENCINAL,TX,SNA,134.86,Regular,Acceptable,Acceptable,9/21/17,Regular,Acceptable,9/22/16
LUBBOTX,LUBBOCK COUNTY DETENTION CENTER,LUBBOCK,TX,DAL,345.78,ORSA,Acceptable,,10/20/17,ORSA,Acceptable,7/29/16
MARIOIN,MARION COUNTY JAIL,INDIANAPOLIS,IN,CHI,185.47,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/30/16
MARSHIA,MARSHALL COUNTY JAIL,MARSHALLTOWN,IA,SPM,370.20,Regular,Pending,Acceptable,10/19/17,Regular,Acceptable,9/24/15
MCHENIL,MCHENRY COUNTY CORRECTIONAL FACILITY,WOODSTOCK,IL,CHI,70.22,Regular,Acceptable,Acceptable,6/15/17,Regular,Acceptable,6/16/16
MECKLNC,MECKLENBURG COUNTY DETENTION CENTER NORTH,CHARLOTTE,NC,ATL,248.25,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
MILLRAR,MILLER COUNTY JAIL,TEXARKANA,AR,NOL,413.63,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,7/7/16
MINICID,MINICASSIA DETENTION CENTER,BURLEY,ID,SLC,304.48,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,8/5/16
MNTGMAL,MONTGOMERY CITY JAIL,MONTGOMERY,AL,NOL,310.68,ORSA,Acceptable,,9/13/17,ORSA,Acceptable,7/7/16
MOFFECO,MOFFAT COUNTY JAIL,CRAIG,CO,DEN,211.15,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/4/16
MONROFL,MONROE COUNTY DETENTION CENTER,KEY WEST,FL,MIA,181.99,Regular,Meets Standard,Meets Standard,7/27/17,Regular,Meets Standard,7/28/16
MONROMI,MONROE COUNTY DETENTION-DORM,MONROE,MI,DET,51.13,Regular,Acceptable,Acceptable,8/24/17,Regular,Acceptable,9/11/15
MONTGMO,MONTGOMERY COUNTY JAIL,MONTGOMERY CITY,MO,CHI,370.24,Regular,Acceptable,Acceptable,8/10/17,Regular,Acceptable,8/13/15
MONTGTX,JOE CORLEY DETENTION FACILITY,CONROE,TX,HOU,30.50,Regular,Meets Standard,Meets Standard,11/17/16,Regular,Meets Standard,11/19/15
MORGNMO,MORGAN COUNTY ADULT DETENTION CENTER,VERSAILLES,MO,CHI,468.72,Regular,Pending,Deficient,1/20/17,Regular,Acceptable,1/23/15
MOROWOH,MORROW COUNTY CORRECTIONAL FACILITY,MOUNT GILEAD,OH,DET,173.93,Regular,Acceptable,Acceptable,2/11/16,Regular,Acceptable,1/30/14
MUSIKCA,JAMES A. MUSICK FACILITY,IRVINE,CA,LOS,44.79,Regular,Pending,Meets Standard,10/19/17,Regular,Meets Standard,10/20/16
NATROWY,NATRONA COUNTY JAIL,CASPER,WY,DEN,293.76,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/1/16
NAVSOAZ,NAVAJO COUNTY SHERIFF,HOLBROOK,AZ,PHO,183.39,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/11/15
NOBLEMN,NOBLES COUNTY JAIL,WORTHINGTON,MN,SPM,252.31,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,7/23/16
NORCOOR,NORTHERN OREGON CORRECTIONAL FACILITY,THE DALLES,OR,SEA,240.57,ORSA,Acceptable,,9/30/16,ORSA,Acceptable,9/30/15
NORFOMA,NORFOLK COUNTY JAIL,DEDHAM,MA,BOS,19.83,ORSA,Acceptable,,9/23/16,ORSA,Acceptable,9/29/15
NVSDCNV,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,373.78,Regular,Meets Standard,Meets Standard,8/3/17,Regular,Meets Standard,8/4/16
NWHNVNC,NEW HANOVER COUNTY JAIL,CASTLE HAYNE,NC,ATL,425.15,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
OCIRCCA,ORANGE COUNTY INTAKE RELEASE FACILITY,SANTA ANA,CA,LOS,33.35,ORSA,Acceptable,,9/1/17,ORSA,Acceptable,9/29/16
OKMULOK,OKMULGEE COUNTY JAIL,OKMULGEE,OK,DAL,,Regular,Acceptable,Acceptable,10/13/17,N/A,,
OLDHAKY,OLDHAM COUNTY JAIL,LA GRANGE,KY,CHI,269.03,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/30/16
ORANGFL,ORANGE COUNTY JAIL,ORLANDO,FL,MIA,231.58,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/29/16
ORANGNY,ORANGE COUNTY JAIL,GOSHEN,NY,NYC,71.48,Regular,Acceptable,Acceptable,4/13/17,Regular,Acceptable,3/17/16
OTROPNM,OTERO COUNTY PRISON FACILITY,CHAPARRAL,NM,ELP,20.92,Regular,Acceptable,Acceptable,2/9/17,Regular,Acceptable,11/16/12
OTRPCNM,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,27.88,Regular,Meets Standard,Meets Standard,3/2/17,Regular,Meets Standard,2/25/16
PENNISD,PENNINGTON COUNTY JAIL (SOUTH DAKOTA),RAPID CITY,SD,SPM,570.52,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,8/25/16
PHELPNE,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,650.70,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,9/1/16
PIC,PORT ISABEL,LOS FRESNOS,TX,SNA,288.73,Regular,Meets Standard,Meets Standard,2/2/17,Regular,Meets Standard,2/4/16
PIKCOPA,PIKE COUNTY CORRECTIONAL FACILITY,LORDS VALLEY,PA,PHI,131.82,Regular,Meets Standard,Meets Standard,1/6/17,Regular,Meets Standard,1/7/16
PINELFL,PINELLAS COUNTY JAIL,CLEARWATER,FL,MIA,276.14,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/15/16
PINEPLA,PINE PRAIRIE CORRECTIONAL CENTER,PINE PRAIRIE,LA,NOL,149.80,Regular,Meets Standard,Meets Standard,4/27/17,Regular,Meets Standard,4/21/16
PLATTMO,PLATTE COUNTY DETENTION CENTER,PLATTE CITY,MO,CHI,410.12,Regular,Acceptable,Acceptable,12/15/16,Regular,Special Review - Pre-Occupancy,8/25/16
PLATTWY,PLATTE COUNTY JAIL,WHEATLAND,WY,DEN,184.81,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/11/14
PLYMOMA,PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH,MA,BOS,58.00,Regular,Acceptable,Acceptable,6/22/17,Regular,Acceptable,6/16/16
POLKCTX,POLK COUNTY ADULT DETENTION FACILITY,LIVINGSTON,TX,HOU,70.09,Regular,Acceptable,Acceptable,1/6/17,Regular,Acceptable,1/7/16
POLKJIA,POLK COUNTY JAIL,DES MOINES,IA,SPM,369.22,ORSA,Acceptable,,9/21/17,ORSA,Acceptable,8/1/16
POTTAIA,POTTAWATTAMIE COUNTY JAIL,COUNCIL BLUFFS,IA,SPM,437.93,Regular,Acceptable,Acceptable,4/13/17,ORSA,Acceptable,8/11/16
PRLDCTX,PRAIRIELAND DETENTION FACILITY,ALVARADO,TX,DAL,32.83,Regular,Meets Standard,Meets Standard,4/20/17,Regular,Special Review - Pre-Occupancy,12/8/16
PULASIL,PULASKI COUNTY JAIL,ULLIN,IL,CHI,354.02,Regular,Meets Standard,Meets Standard,3/2/17,Regular,Meets Standard,2/25/16
PWILLVA,PRINCE WILLIAM COUNTY CORRECTIONAL FACILITY,MANASSAS,VA,WAS,19.40,ORSA,Acceptable,,9/27/17,ORSA,Acceptable,9/22/16
RAADCMN,RAMSEY COUNTY ADULT DETENTION CENTER,ST. PAUL,MN,SPM,141.22,Regular,Acceptable,Acceptable,9/14/17,ORSA,Acceptable,9/30/16
RGRNDTX,RIO GRANDE DETENTION CENTER,LAREDO,TX,SNA,179.47,Regular,Meets Standard,Meets Standard,3/16/17,Regular,Meets Standard,3/10/16
RIOCCCA,RIO COSUMNES CORR. CENTER,ELK GROVE,CA,SFR,145.81,Regular,Acceptable,Acceptable,12/1/16,Regular,Acceptable,12/3/15
RIOGRCO,RIO GRANDE COUNTY JAIL,DEL NORTE,CO,DEN,156.00,ORSA,Acceptable,,6/2/17,Regular,Special Review - Pre-Occupancy,4/14/16
RNDLLTX,RANDALL COUNTY JAIL,AMARILLO,TX,DAL,363.72,ORSA,Acceptable,,10/11/17,ORSA,Acceptable,7/1/16
ROCKIIL,ROCK ISLAND COUNTY CORRECTIONAL CENTER,ROCK ISLAND,IL,CHI,182.17,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,8/19/16
ROCKIVA,ROCKINGHAM COUNTY JAIL,HARRISONBURG,VA,WAS,118.38,ORSA,Acceptable,,9/27/17,ORSA,Acceptable,9/2/16
RONKEVA,ROANOKE CITY JAIL,ROANOKE,VA,WAS,228.23,ORSA,Acceptable,,9/27/17,ORSA,Acceptable,9/9/16
SANJAIL,SANGAMON COUNTY JAIL,SPRINGFIELD,IL,CHI,200.83,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/21/16
SCRUZAZ,SANTA CRUZ COUNTY JAIL,NOGALES,AZ,PHO,178.93,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,8/5/16
SEBASAR,SEBASTIAN COUNTY DETENTION CENTER,FORT SMITH,AR,NOL,586.36,ORSA,Acceptable,,8/29/17,ORSA,Acceptable,6/25/16
SENECOH,SENECA COUNTY JAIL,TIFFIN,OH,DET,110.65,Regular,Acceptable,Acceptable,10/5/17,Regular,Acceptable,10/22/15
SHACOKS,SHAWNEE COUNTY DEPARTMENT OF CORRECTIONS,TOPEKA,KS,CHI,568.97,ORSA,Acceptable,,9/5/17,ORSA,Acceptable,6/21/16
SHERBMN,SHERBURNE COUNTY JAIL,ELK RIVER,MN,SPM,94.46,Regular,Acceptable,Acceptable,12/8/16,Regular,Acceptable,12/10/15
SLRDCAZ,SAN LUIS REGIONAL DETENTION CENTER,SAN LUIS,AZ,PHO,203.80,Regular,Acceptable,Acceptable,4/20/17,ORSA,Acceptable,8/5/16
SLSLCUT,SALT LAKE COUNTY METRO JAIL,SALT LAKE CITY,UT,SLC,,ORSA,Acceptable,,11/2/17,Regular,Acceptable,1/5/11
STCDFTX,SOUTH TEXAS DETENTION COMPLEX,PEARSALL,TX,SNA,67.38,Regular,Meets Standard,Meets Standard,3/30/17,Regular,Meets Standard,3/24/16
STCLAMI,SAINT CLAIR COUNTY JAIL,PORT HURON,MI,DET,60.39,Regular,Meets Standard,Meets Standard,8/17/17,Regular,Meets Standard,8/27/15
DETLOC,Facility Name,City,State,AOR,Distance to Field Office (mi),Last Inspection Type,Last Inspection Rating - Final,Last Inspection Rating - Recommended,Last Inspection Date,Second to Last Inspection Type,Second to Last Inspection Rating,Second to Last Inspection Date
ADLNTCA,ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,LOS,197.04,Regular,Meets Standard,Meets Standard,10/6/17,Regular,Meets Standard,10/5/17
ALBCONY,ALBANY COUNTY JAIL,ALBANY,NY,BUF,196.76,Regular,Pending,Acceptable,9/28/17,ORSA,Acceptable,7/22/16
ALEXAVA,ALEXANDRIA CITY JAIL,ALEXANDRIA,VA,WAS,196.48,ORSA,Acceptable,,9/27/17,ORSA,Acceptable,9/26/16
ALLEGNY,ALLEGANY COUNTY JAIL,BELMONT,NY,BUF,196.20,Regular,Acceptable,Acceptable,2/9/17,ORSA,Acceptable,6/16/16
ANCHOAK,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,AK,SEA,195.92,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,6/9/16
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,NOL,195.64,Regular,Meets Standard,Meets Standard,5/18/17,Regular,Meets Standard,8/25/16
ATLANGA,ATLANTA CITY DETENTION CENTER,ATLANTA,GA,ATL,195.36,Regular,Acceptable,Acceptable,6/29/17,Regular,Acceptable,6/25/15
BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,MACCLENNY,FL,MIA,195.08,Regular,Acceptable,Acceptable,4/20/17,Regular,Acceptable,4/14/16
TNWESDF,WESTERN TENNESSEE DETENTION FACILITY,MASON,TN,NOL,433.66,Regular,Meets Standard,Meets Standard,1/26/17,Regular,Special Review - Pre-Occupancy,10/7/16
TOOELUT,TOOELE COUNTY JAIL,TOOELE,UT,SLC,,ORSA,Acceptable,,10/20/17,ORSA,Acceptable,10/19/15
TOORANM,TORRANCE COUNTY DETENTION FACILITY,ESTANCIA,NM,ELP,209.96,Regular,Acceptable,Acceptable,10/20/16,Regular,Special Review - Pre-Occupancy,4/28/16
TULCOOK,TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),TULSA,OK,DAL,270.77,Regular,Acceptable,Acceptable,5/25/17,Regular,Acceptable,5/26/16
VALVETX,VAL VERDE CORRECTIONAL FACILITY,DEL RIO,TX,SNA,159.13,ORSA,Acceptable,,9/13/17,ORSA,Acceptable,8/31/16
VPREGVA,VIRGINIA PENINSULA REGIONAL JAIL,WILLIAMSBURG,VA,WAS,155.82,Regular,Acceptable,Acceptable,4/6/17,Regular,Acceptable,4/7/16
VTSTALB,NORTHWEST STATE CORRECTIONAL CENTER,SWANTON,VT,BOS,240.94,ORSA,Acceptable,,8/22/17,ORSA,Acceptable,8/22/16
WACLATX,CENTRAL TEXAS DETENTION FACILITY,SAN ANTONIO,TX,SNA,12.98,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,6/12/16
WAKECNC,WAKE COUNTY SHERIFF DEPARTMENT,RALEIGH,NC,ATL,411.52,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
WAKULFL,WAKULLA COUNTY JAIL,CRAWFORDVILLE,FL,MIA,536.31,Regular,Acceptable,Acceptable,10/20/16,Regular,Acceptable,11/5/15
WASHCUT,WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FAC,HURRICANE,UT,SLC,212.32,ORSA,Acceptable,,8/31/17,ORSA,Acceptable,8/16/16
WASHIAR,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,484.00,Regular,Superior,Deficient,8/18/09,Regular,Superior,8/15/08
WASHONV,WASHOE COUNTY JAIL,RENO,NV,SLC,646.31,Regular,Acceptable,Acceptable,8/18/16,Regular,Acceptable,8/21/14
WAYNENY,WAYNE COUNTY JAIL,LYONS,NY,BUF,106.51,ORSA,Acceptable,,7/22/16,ORSA,Acceptable,7/31/15
WCCPBFL,BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,MIA,22.37,Regular,Pending,Meets Standard,10/26/17,Regular,Meets Standard,10/27/16
WCRDFTX,WILLACY CO  REGIONAL DETENTION FACILITY,RAYMONDVILLE,TX,SNA,239.41,Regular,Acceptable,Acceptable,9/14/17,Regular,Acceptable,9/22/16
WEBDCTX,WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,SNA,163.07,Regular,Acceptable,Acceptable,2/16/17,Regular,Special Review - Pre-Occupancy,10/27/16
WHITFGA,WHITFIELD COUNTY JAIL,DALTON,GA,ATL,92.59,ORSA,Acceptable,,9/15/17,ORSA,Acceptable,9/16/16
WORCEMD,WORCESTER COUNTY JAIL,SNOW HILL,MD,BAL,136.63,Regular,Acceptable,Acceptable,8/31/17,Regular,Acceptable,9/1/16
WTXDFTX,WEST TEXAS DETENTION FACILITY,SIERRA BLANCA,TX,ELP,82.24,Regular,Acceptable,Acceptable,8/31/17,Regular,Acceptable,9/1/16
WVNORTH,NORTHERN REGIONAL JAIL,MOUNDSVILLE,WV,PHI,414.21,ORSA,Acceptable,,8/14/17,ORSA,Acceptable,7/19/16
WVSCENT,SOUTH CENTRAL REGIONAL JAIL,CHARLESTON,WV,PHI,476.65,ORSA,Acceptable,,9/18/17,ORSA,Acceptable,8/19/16
YANCOSD,YANKTON COUNTY JAIL,YANKTON,SD,SPM,251.00,ORSA,Acceptable,,9/21/17,Regular,Special Review - Pre-Occupancy,12/21/16
YAVCVAZ,YAVAPAI COUNTY DETENTION CENTER,CAMP VERDE,AZ,PHO,92.34,ORSA,Acceptable,,9/8/17,ORSA,Acceptable,7/7/16
YIKIMWA,YAKIMA COUNTY DEPARTMENT OF CORRECTIONS,YAKIMA,WA,SEA,148.91,ORSA,Acceptable,,10/2/17,ORSA,Acceptable,7/20/16
YORCOPA,YORK COUNTY PRISON,YORK,PA,PHI,91.05,Regular,Pending,Meets Standard,10/19/17,Regular,Meets Standard,10/14/16
YORCOSC,YORK COUNTY DETENTION CENTER,YORK,SC,ATL,225.80,Regular,Acceptable,Acceptable,8/11/16,Regular,Acceptable,8/14/14
YUBAJCA,YUBA COUNTY JAIL,MARYSVILLE,CA,SFR,137.84,Regular,Acceptable,Acceptable,11/3/16,Regular,Acceptable,11/5/15