AOR,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TOTAL FY2020
Total,13942,11890,11361,11951,11702,11088,6923,5698,5052,4887,4743,4525,103762
Atlanta,648,574,568,621,592,557,377,421,388,254,464,425,5889
Baltimore,31,45,40,43,50,26,28,17,14,10,16,7,327
Boston,89,108,71,75,81,94,41,55,42,26,29,37,748
Buffalo,104,79,72,73,81,71,34,48,40,49,44,82,777
Chicago,344,313,294,331,290,204,216,193,159,187,149,152,2832
Dallas,1100,951,907,1057,994,998,799,914,827,836,703,564,10650
Denver,148,137,127,129,123,186,111,129,109,94,131,104,1528
Detroit,177,130,145,133,126,163,88,101,120,130,89,131,1533
El Paso,1694,1313,1319,1331,1642,1651,983,534,485,592,409,407,12360
Houston,1124,1016,1059,1181,1148,1193,937,619,342,336,266,323,9544
Los Angeles,474,365,410,402,364,251,178,197,155,185,211,180,3372
Miami,512,377,377,443,412,295,127,141,217,170,200,205,3476
New Orleans,674,513,619,682,506,474,318,256,444,264,244,194,5188
New York City,104,95,79,78,85,47,12,37,34,44,35,47,697
Newark,122,120,126,75,91,75,18,31,31,40,45,44,818
Philadelphia,199,186,203,191,177,151,123,134,115,119,118,131,1847
Phoenix,1794,1603,1636,1641,1696,1675,944,643,437,439,552,376,13436
Salt Lake City,275,174,144,171,142,128,68,80,102,84,90,84,1542
San Antonio,2552,2218,1719,1777,1633,1462,755,596,488,545,491,476,14712
San Diego,874,718,631,764,757,702,253,127,147,106,94,78,5251
San Francisco,352,343,282,290,252,249,204,142,105,149,148,125,2641
Seattle,190,175,141,153,146,152,104,104,95,78,77,116,1531
St. Paul,185,187,227,162,183,155,115,67,69,84,55,166,1655
Washington,176,150,165,148,131,129,90,112,87,66,83,71,1408
NCATC,-,-,-,,0,-,-,-,-,-,-,-,-