AOR,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,"TOTAL
FY2020"
Total,2444,2059,2213,2500,2545,2198,909,1203,1179,1378,1881,1945,22454
Atlanta,291,298,316,293,290,299,114,191,207,213,280,282,3074
Baltimore,19,21,25,23,19,8,4,7,9,11,12,12,170
Boston,45,39,30,63,95,44,15,10,18,40,53,31,483
Buffalo,8,3,4,6,5,6,1,3,1,9,3,1,50
Chicago,136,105,112,141,161,120,47,64,90,96,148,142,1362
Dallas,277,253,312,289,259,246,210,244,197,224,306,305,3122
Denver,20,25,17,41,32,38,5,5,9,16,11,17,236
Detroit,56,52,43,50,64,47,16,23,25,39,46,40,501
El Paso,28,21,36,37,35,33,16,25,17,19,24,27,318
Houston,211,160,200,225,171,154,55,29,28,30,133,204,1600
Los Angeles,32,38,26,43,43,25,7,1,7,19,17,12,270
Miami,238,205,213,244,233,240,129,170,148,158,203,192,2373
New Orleans,214,188,208,200,277,180,42,53,76,95,131,137,1801
New York City,41,17,28,64,109,86,1,2,3,15,23,11,400
Newark,95,73,68,102,85,63,8,25,23,46,56,62,706
Philadelphia,67,58,36,55,60,31,4,7,18,16,34,34,420
Phoenix,115,98,98,106,127,120,80,100,86,86,122,113,1251
Salt Lake City,58,33,32,48,57,40,30,36,44,57,50,32,517
San Antonio,207,138,165,160,140,193,78,144,86,75,105,140,1631
San Diego,24,25,22,45,30,21,3,2,5,18,20,26,241
San Francisco,26,11,19,35,40,14,9,3,6,5,4,6,178
Seattle,28,7,14,26,33,17,6,4,4,12,6,5,162
St. Paul,81,84,86,87,63,71,24,29,37,56,62,78,758
Washington,114,97,98,110,98,94,4,20,26,14,14,26,715
Unassigned,13,10,5,7,19,8,1,6,9,9,18,10,115
NCATC,-,-,-,-,-,-,-,-,-,-,-,-,-